"R_peaks"
0,6216
1,4404
2,2352
3,0088
3,7588
4,5732
5,4228
6,2332
7,0284
7,7992
8,5604
9,3256
10,1536
10,9468
11,7276
12,498
13,284
14,1044
14,8828
15,6428
16,3964
17,148
17,9028
18,6556
19,3824
20,0684
20,7456
21,4504
22,242
23,0308
23,8032
24,5372
25,2964
26,0704
26,8556
27,5968
28,2972
28,9648
29,67
30,4072
31,1864
31,9028
32,6004
33,3352
34,088
34,874
35,6776
36,408
37,126
37,8888
38,6708
39,4872
40,2812
41,0176
41,7108
42,4328
43,1968
43,9408
44,6876
45,3836
46,0932
46,8648
47,6304
48,3932
49,1068
49,7864
50,5032
51,2536
52,068
52,8436
53,5732
54,3092
55,0604
55,8148
56,5968
57,3324
58,0316
58,7472
59,4616
60,25
60,9756
61,7136
62,4588
63,2428
63,936
64,5812
65,2052
65,8328
66,4908
67,2016
67,9336
68,6772
69,3404
69,976
70,616
71,2836
72,0636
72,8888
73,7888
74,5912
75,3524
76,1044
76,8964
77,6568
78,3896
79,1256
79,9172
80,7388
81,5952
82,3748
83,1016
83,8356
84,626
85,4388
86,2464
86,9592
87,6608
88,3704
89,128
89,934
90,714
91,4848
92,2904
93,1104
93,938
94,7188
95,4612
96,1804
96,9196
97,6988
98,4648
99,1944
99,9448
100,7328
101,5452
102,3292
103,0704
103,7672
104,466
105,2044
105,9236
106,6252
107,2892
107,9996
108,8104
109,6732
110,504
111,2532
111,9764
112,724
113,492
114,3036
115,1252
115,8996
116,6736
117,4688
118,3008
119,1492
119,926
120,6736
121,4268
122,2448
123,0768
123,872
124,6328
125,3932
126,1776
126,98
127,8116
128,6136
129,3948
130,2024
131,0124
131,8076
132,55
133,28
134,0192
134,7588
135,4996
136,2556
136,97
137,7064
138,4896
139,2372
139,9392
140,5848
141,236
141,9252
142,6652
143,4048
144,1584
144,8524
145,56
146,2752
147,0332
147,7468
148,4276
149,118
149,8172
150,5256
151,208
151,8728
152,5468
153,286
154,014
154,7404
155,4184
156,086
156,7728
157,5168
158,286
159,0332
159,7484
160,5
161,25
162,0548
162,8416
163,5916
164,2948
164,9988
165,7512
166,4964
167,196
167,8852
168,628
169,3528
170,098
170,7916
171,458
172,1324
172,8412
173,6068
174,348
175,0456
175,8008
176,5716
177,3532
178,1228
178,8468
179,6176
180,3328
181,0664
181,7616
182,4388
183,1476
183,9448
184,7988
185,6368
186,4308
187,2204
188,022
188,8388
189,6236
190,3384
191,0408
191,7604
192,544
193,322
194,0984
194,8788
195,6536
196,446
197,2396
197,9628
198,6356
199,316
200,0484
200,7752
201,5184
202,2164
202,978
203,746
204,5168
205,2568
205,9412
206,65
207,3616
208,0632
208,7796
209,4624
210,1592
210,8588
211,5812
212,2996
212,9644
213,6532
214,3908
215,1272
215,8404
216,5252
217,2284
217,96
218,69
219,378
220,0336
220,6948
221,3636
222,072
222,7916
223,4996
224,1768
224,8776
225,5852
226,2728
226,944
227,594
228,2444
228,902
229,5956
230,2784
230,9268
231,5812
232,3056
233,0884
233,8116
234,482
235,1292
235,7856
236,4756
237,1704
237,8368
238,4968
239,1452
239,832
240,5244
241,2316
241,9232
